,pitches,player_id,player_name,total_pitches,pitch_percent,xwoba,xba,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,vertical_release_point_ft,horizontal_release_point_ft
144,141,533167,"Shoemaker, Matt",1064,13.3,0.159,0.133,136,83.9,10.1,1714,86.3,85.95,30,139,2,-0.3,6.11,-1.89,1.89
145,235,666159,"Manning, Matt",1421,16.5,0.182,0.171,231,88.3,11.3,2006,89.6,90.61,39,220,15,1.0,6.86,-1.89,1.89
146,312,660271,"Ohtani, Shohei",2027,15.4,0.122,0.114,308,85.2,11.8,2021,89.0,89.74,104,289,23,0.7,6.8,-1.93,1.93
147,196,672715,"Patiño, Luis",1365,14.4,0.155,0.132,193,87.8,24.9,2432,92.5,93.18,51,188,8,0.7,6.77,-1.95,1.95
148,428,543037,"Cole, Gerrit",2969,14.4,0.127,0.109,423,86.8,14.2,2405,92.3,92.36,139,377,51,0.1,6.52,-1.96,1.96
149,385,592351,"Gray, Jon",2537,15.2,0.122,0.117,380,84.8,8.2,2262,89.8,90.28,102,342,43,0.5,6.38,-1.97,1.97
150,377,663554,"Mize, Casey",2357,16.0,0.167,0.144,372,86.2,8.5,2050,89.7,90.4,77,351,26,0.7,6.87,-1.98,1.98
151,52,605242,"Fulmer, Michael",1183,4.4,0.137,0.13,52,84.1,9.3,2160,92.2,92.62,9,49,3,0.4,6.62,-1.99,1.99
152,205,593372,"Martínez, Carlos",1281,16.0,0.196,0.171,202,84.9,6.2,2020,88.1,87.14,40,194,11,-1.0,5.6,-2.0,2.0
153,234,502171,"Cobb, Alex",1579,14.8,0.155,0.155,231,86.6,-0.2,1912,89.7,88.92,53,204,30,-0.8,5.81,-2.01,2.01
154,229,592866,"Williams, Trevor",1537,14.9,0.134,0.127,225,84.1,9.0,2155,88.0,88.76,59,209,20,0.8,6.82,-2.03,2.03
155,70,663986,"Stephan, Trevor",1210,5.8,0.154,0.134,70,86.1,12.4,2350,90.3,90.97,24,66,4,0.7,6.61,-2.05,2.05
156,233,605164,"Bundy, Dylan",1524,15.3,0.147,0.133,228,84.9,14.2,2356,85.9,85.0,48,207,26,-0.9,5.91,-2.06,2.06
157,458,450203,"Morton, Charlie",2987,15.3,0.135,0.122,447,85.1,4.6,2656,88.0,87.58,129,409,49,-0.4,6.27,-2.06,2.06
158,323,592314,"Foltynewicz, Mike",2236,14.4,0.141,0.129,317,86.1,17.4,2184,89.1,88.4,50,291,32,-0.7,6.14,-2.08,2.08
159,419,502043,"Gibson, Kyle",2881,14.5,0.149,0.143,414,87.1,5.4,2204,88.4,88.78,86,382,37,0.4,6.64,-2.08,2.08
160,288,661269,"Gutierrez, Vladimir",1831,15.7,0.144,0.132,280,85.4,11.9,2196,86.4,86.7,57,275,13,0.3,6.52,-2.08,2.08
161,63,621249,"Underwood Jr., Duane",1177,5.4,0.155,0.135,62,86.9,-2.4,2055,88.4,88.81,17,58,5,0.4,6.52,-2.09,2.09
162,320,669302,"Gilbert, Logan",2125,15.1,0.141,0.119,315,86.0,21.6,2197,90.7,92.37,103,302,18,1.7,7.44,-2.09,2.09
163,455,543135,"Eovaldi, Nathan",2927,15.5,0.136,0.125,452,85.7,15.4,2042,89.8,90.51,126,414,41,0.7,6.69,-2.11,2.11
164,436,543294,"Hendricks, Kyle",2809,15.5,0.163,0.16,428,82.5,9.7,2021,83.5,81.66,74,399,37,-1.8,5.78,-2.11,2.11
165,312,641540,"Dunning, Dane",1909,16.3,0.156,0.149,310,85.5,4.8,2048,86.7,86.74,75,281,31,0.0,6.51,-2.12,2.12
166,173,641771,"Kuhl, Chad",1436,12.0,0.128,0.124,169,86.1,9.2,2317,89.0,87.16,46,163,10,-1.8,6.59,-2.13,2.13
167,244,641154,"López, Pablo",1669,14.6,0.124,0.115,241,84.4,9.4,2070,90.6,91.28,84,228,16,0.7,6.76,-2.17,2.17
168,51,656629,"Kopech, Michael",1154,4.4,0.087,0.076,50,89.0,15.9,2511,91.9,92.36,22,44,7,0.5,6.54,-2.18,2.18
169,353,518774,"Harvey, Matt",2232,15.8,0.178,0.159,349,86.9,13.5,2174,89.4,88.53,63,323,30,-0.9,6.05,-2.22,2.22
170,284,628317,"Maeda, Kenta",1775,16.0,0.115,0.109,282,84.2,16.1,2078,84.9,84.08,88,265,19,-0.8,5.88,-2.27,2.27
171,283,501381,"Pineda, Michael",1707,16.6,0.174,0.163,279,88.2,16.2,1914,86.8,86.32,67,269,14,-0.5,6.25,-2.34,2.34
